foxf1_normalized	bmp4_normalized
0.237792	0.057413
0.282378	0.062450
0.326964	0.053183
0.289809	0.026189
0.209130	0.011080
0.279193	0.022160
0.220807	0.012288
0.166667	0.025584
0.242038	0.019138
0.357749	0.023570
0.143312	0.034448
0.232484	0.017526
0.314225	0.020346
0.221868	0.017325
0.190021	0.034851
0.348195	0.037470
0.342887	0.038276
0.121019	0.027397
0.253715	0.036261
0.187898	0.042305
0.141189	0.044923
0.255839	0.042707
0.313163	0.048751
0.273885	0.062450
0.250531	0.079371
0.330149	0.061644
0.201699	0.050967
0.290870	0.058219
0.164544	0.073127
0.192144	0.073529
0.233546	0.061039
0.091295	0.044118
0.092357	0.049758
0.105096	0.037067
0.226115	0.023167
0.164544	0.043916
0.133758	0.044923
0.159236	0.045528
0.203822	0.048952
0.127389	0.044722
0.217622	0.055802
0.139066	0.054996
0.281316	0.061039
0.254777	0.076753
0.349257	0.061039
0.185775	0.060234
0.230361	0.055399
0.290870	0.052377
0.211253	0.068695
0.233546	0.065068
0.270701	0.052780
0.280255	0.056608
0.212314	0.051168
0.309979	0.065068
0.301486	0.052377
0.320594	0.064867
0.234607	0.055802
0.249469	0.061039
0.198514	0.026390
0.195329	0.042909
0.298301	0.053787
0.263270	0.035858
0.223992	0.017728
0.084926	0.044722
0.233546	0.054593
0.201699	0.025987
0.228238	0.046938
0.164544	0.049557
0.256900	0.066680
0.256900	0.062651
0.164544	0.079371
0.315287	0.112812
0.264331	0.117446
0.161359	0.109186
0.230361	0.085214
0.264331	0.104150
0.252654	0.102337
0.309979	0.084609
0.180467	0.096495
0.265393	0.080177
0.221868	0.059629
0.147558	0.096092
0.227176	0.082998
0.268577	0.061644
0.356688	0.054190
0.318471	0.055197
0.185775	0.037268
0.243100	0.042305
0.256900	0.052176
0.213376	0.017325
0.203822	0.051571
0.383227	0.040290
0.337580	0.030218
0.277070	0.037873
0.305732	0.028203
0.181529	0.031829
0.290870	0.017526
0.181529	0.025181
0.248408	0.031829
0.108280	0.034851
0.232484	0.017929
0.171975	0.019339
0.180467	0.041499
0.305732	0.030822
0.152866	0.006648
0.318471	0.022361
0.207006	0.002015
0.411890	0.013296
0.188960	0.015109
0.234607	0.011886
0.256900	0.029210
0.288747	0.014303
0.162420	0.012087
0.181529	0.000806
0.313163	0.006648
0.108280	0.001007
0.025478	0.028002
0.058386	0.033441
0.161359	0.030016
0.226115	0.034448
0.171975	0.048751
0.249469	0.049154
0.105096	0.029009
0.130573	0.051773
0.109342	0.044118
0.139066	0.042103
0.117834	0.038880
0.176221	0.042305
0.040340	0.029210
0.152866	0.053183
0.245223	0.045931
0.105096	0.059226
0.194268	0.059831
0.180467	0.054996
0.119958	0.031628
0.056263	0.030016
0.146497	0.048147
0.124204	0.029412
0.235669	0.038074
0.143312	0.043110
0.318471	0.029613
0.243100	0.039081
0.210191	0.019742
0.259023	0.033844
0.168790	0.017728
0.216561	0.035858
0.076433	0.033239
0.105096	0.027397
0.168790	0.040492
0.133758	0.038880
0.111465	0.018936
0.092357	0.009871
0.149682	0.019742
0.169851	0.031023
0.117834	0.016519
0.158174	0.013094
0.156051	0.018332
0.260085	0.032635
0.209130	0.022764
0.108280	0.018936
0.256900	0.018332
0.099788	0.019339
0.123142	0.033239
0.182590	0.027599
0.006369	0.014303
0.145435	0.015512
0.247346	0.026189
0.187898	0.018936
0.182590	0.018131
0.102972	0.022562
0.225053	0.029009
0.153928	0.023771
0.176221	0.024174
0.159236	0.033642
0.153928	0.041700
0.089172	0.039484
0.138004	0.037671
0.193206	0.040693
0.121019	0.029210
0.231423	0.024778
0.179406	0.018131
0.184713	0.042305
0.232484	0.037873
0.156051	0.019339
0.243100	0.041297
0.104034	0.025987
0.266454	0.028203
0.248408	0.046938
0.081741	0.031829
0.274947	0.031628
0.307856	0.025987
0.222930	0.024577
0.041401	0.028203
0.038217	0.033239
0.319533	0.040089
0.156051	0.033441
0.233546	0.047744
0.078556	0.021757
0.220807	0.030419
0.175159	0.060838
0.337580	0.032232
0.135881	0.034851
0.194268	0.036463
0.110403	0.034448
0.204883	0.051974
0.141189	0.039283
0.192144	0.033441
0.280255	0.041096
0.078556	0.028203
0.261146	0.042103
0.218684	0.048751
0.191083	0.067486
0.183652	0.079774
0.317410	0.056809
0.314225	0.055197
0.146497	0.074537
0.058386	0.047139
0.101911	0.037067
0.181529	0.049960
0.158174	0.044521
0.285563	0.044319
0.195329	0.037873
0.198514	0.036261
0.257962	0.027599
0.169851	0.044722
0.163482	0.052579
0.205945	0.048147
0.182590	0.052176
0.177282	0.048751
0.141189	0.071112
0.170913	0.072724
0.147558	0.051370
0.324841	0.052579
0.268577	0.064666
0.176221	0.051571
0.107219	0.050363
0.318471	0.066076
0.016985	0.049557
0.165605	0.033239
0.301486	0.034851
0.203822	0.045931
0.171975	0.062450
0.285563	0.069299
0.208068	0.112208
0.191083	0.139404
0.238854	0.118251
0.299363	0.138195
0.280255	0.131144
0.221868	0.121878
0.237792	0.127115
0.303609	0.105560
0.269639	0.093473
