measurement_name	bin_idx	bin_start_um	bin_end_um	bin_mid_um	bin_width_um	total_count_px	n_images	mean	sd	sem
fixed_t_bgz_over_dapi_gate	13	400.2668151855469	413.3491516113281	406.8567199707031	13.08233642578125	449177	36	0.013863284166695343	0.0024437108356169953	0.0004072851392694992
fixed_t_bgz_over_dapi_gate	14	413.3492126464844	425.9203796386719	419.67510986328125	12.5711669921875	449175	36	0.013583402408079969	0.002277884128670407	0.0003796473547784012
fixed_t_bgz_over_dapi_gate	15	425.92041015625	438.0679626464844	432.02294921875	12.147552490234375	449175	36	0.013266193137193719	0.0022595853664877123	0.0003765975610812854
fixed_t_bgz_over_dapi_gate	16	438.0679931640625	449.8435363769531	443.9851989746094	11.775543212890625	449175	36	0.01293114215756456	0.002159063820920251	0.0003598439701533752
fixed_t_bgz_over_dapi_gate	17	449.8436584472656	461.5048828125	455.676513671875	11.661224365234375	449176	36	0.01257338198936648	0.0021032284100790913	0.0003505380683465152
fixed_t_bgz_over_dapi_gate	18	461.5048828125	473.0869445800781	467.3063049316406	11.582061767578125	449178	36	0.012319558920959631	0.00209760114571351	0.00034960019095225166
fixed_t_bgz_over_dapi_gate	19	473.0869445800781	484.55755615234375	478.82843017578125	11.470611572265625	449176	36	0.012071047806077533	0.002088834866273779	0.0003481391443789632
fixed_t_bgz_over_dapi_gate	20	484.5576171875	495.9449768066406	490.2572326660156	11.387359619140625	449175	36	0.01193469158735954	0.0020195560446234573	0.00033659267410390955
fixed_t_bgz_over_dapi_gate	21	495.94500732421875	507.23150634765625	501.59515380859375	11.2864990234375	449175	36	0.011712430006203553	0.0020046018781189707	0.00033410031301982847
fixed_t_bgz_over_dapi_gate	22	507.2315368652344	518.3836059570312	512.82080078125	11.152069091796875	449175	36	0.011460063746199012	0.002005219733037954	0.000334203288839659
fixed_t_bgz_over_dapi_gate	23	518.3836669921875	529.3955078125	523.8983764648438	11.0118408203125	449176	36	0.011260732154672345	0.001968830157853189	0.00032813835964219814
fixed_t_bgz_over_dapi_gate	24	529.3955078125	540.264892578125	534.8450927734375	10.869384765625	449178	36	0.011148347622818418	0.0018859051015657773	0.00031431751692762955
fixed_t_bgz_over_dapi_gate	25	540.264892578125	550.9910278320312	545.6402587890625	10.72613525390625	449181	36	0.011104062794604234	0.0018456297741543974	0.00030760496235906625
fixed_t_bgz_over_dapi_gate	26	550.9910278320312	561.55908203125	556.2908935546875	10.56805419921875	449181	36	0.011061644517920084	0.0017901048206282228	0.00029835080343803714
fixed_t_bgz_over_dapi_gate	27	561.55908203125	571.9561157226562	566.7725830078125	10.39703369140625	449176	36	0.011039216252457764	0.0017575649507650623	0.00029292749179417706
fixed_t_bgz_over_dapi_gate	28	571.9561767578125	582.181640625	577.0821533203125	10.2254638671875	449178	36	0.011006427372598814	0.0017086045481262014	0.0002847674246877002
fixed_t_bgz_over_dapi_gate	29	582.181640625	592.2732543945312	587.2379760742188	10.09161376953125	449178	36	0.010906885610893369	0.0017472806314912295	0.0002912134385818716
fixed_t_bgz_over_dapi_gate	30	592.2732543945312	602.2612915039062	597.27392578125	9.988037109375	449176	36	0.010852679985368418	0.0017405677435122365	0.0002900946239187061
fixed_t_bgz_over_dapi_gate	31	602.2613525390625	612.2149658203125	607.2281494140625	9.95361328125	449177	36	0.010776895835685233	0.00177268319082004	0.00029544719847000666
fixed_t_bgz_over_dapi_gate	32	612.2149658203125	622.7859497070312	617.420166015625	10.57098388671875	449176	36	0.010628506295486458	0.0019946343733549124	0.00033243906222581876
fixed_t_bgz_over_dapi_gate	33	622.7860107421875	634.2583618164062	628.4606323242188	11.47235107421875	449178	36	0.010616316123762064	0.0021457959274160166	0.0003576326545693361
fixed_t_bgz_over_dapi_gate	34	634.2583618164062	646.435546875	640.2984619140625	12.17718505859375	449178	36	0.010584648310517272	0.002285435298644435	0.0003809058831074058
fixed_t_bgz_over_dapi_gate	35	646.435546875	659.093017578125	652.7303466796875	12.657470703125	449180	36	0.010591353833054503	0.0023147300102738513	0.00038578833504564187
fixed_t_bgz_over_dapi_gate	36	659.093017578125	672.2466430664062	665.6038208007812	13.15362548828125	449181	36	0.010639592151468	0.0023008079001899735	0.00038346798336499557
fixed_t_bgz_over_dapi_gate	37	672.2466430664062	687.7083129882812	679.7210083007812	15.461669921875	449177	36	0.010402412593571676	0.0022872316386680527	0.0003812052731113421
fixed_t_bgz_over_dapi_gate	38	687.7083129882812	706.0396728515625	696.638427734375	18.33135986328125	449177	36	0.010075958005877005	0.0022866260081535906	0.0003811043346922651
fixed_t_bgz_over_dapi_gate	39	706.0396728515625	726.9016723632812	716.2872314453125	20.86199951171875	449180	35	0.010013389627316169	0.002226444198760533	0.0003763377574996175
fixed_t_bgz_over_dapi_gate	40	726.9017944335938	750.0431518554688	738.2774658203125	23.141357421875	449175	32	0.010259279413730837	0.002396298698073132	0.0004236097647890017
fixed_t_bgz_over_dapi_gate	41	750.0432739257812	775.4328002929688	762.57373046875	25.3895263671875	449175	32	0.010234531902824529	0.0018705383018786698	0.00033066757943189416
fixed_t_bgz_over_dapi_gate	42	775.432861328125	802.029052734375	788.6668701171875	26.59619140625	449176	26	0.01139597798912571	0.0019444146491123854	0.0003813310860899893
fixed_t_bgz_over_dapi_gate	43	802.029052734375	829.5509033203125	815.6848754882812	27.5218505859375	449180	25	0.011494643017649651	0.0017316239133438015	0.0003463247826687603
fixed_t_bgz_over_dapi_gate	44	829.5511474609375	858.490478515625	843.8868408203125	28.9393310546875	449175	25	0.011775847394019365	0.0021529167141576505	0.0004305833428315301
fixed_t_bgz_over_dapi_gate	45	858.4906005859375	889.0801391601562	873.65234375	30.58953857421875	449175	25	0.012549261692911387	0.0026991711372594037	0.0005398342274518808
fixed_t_bgz_over_dapi_gate	46	889.0802001953125	921.8258666992188	905.1937866210938	32.74566650390625	449175	25	0.01321914903819561	0.003409953331515115	0.000681990666303023
fixed_t_bgz_over_dapi_gate	47	921.8260498046875	959.835205078125	940.2562866210938	38.0091552734375	449175	25	0.01403098251670599	0.004027727249737339	0.0008055454499474679
