marker_key	bin_index	bin_center_um	mean_fraction	std_fraction	mean_intensity_fraction	std_intensity_fraction	mean_intensity_all_fraction	std_intensity_all_fraction	mean_soft_intensity_fraction	std_soft_intensity_fraction	n_organoids
foxf1	2	44.47283669523426	0.29238017864441124	0.2219968102628454	0.050315276954988386	0.03160584665060916	0.07408403716366772	0.027640358357124653	0.037657135725597035	0.03248497760921419	67
foxf1	3	62.26197137332796	0.3038469992002677	0.21814762262516182	0.05816878566731715	0.033902139999837023	0.07650954823794469	0.02680742124761904	0.04713489244956657	0.03535894361337841	67
foxf1	4	80.05110605142167	0.3195465557253788	0.2151679255321912	0.07281318288140755	0.04354832088951318	0.07946103420461208	0.0255031203118771	0.06419380324219848	0.04501201798126769	67
foxf1	5	97.84024072951536	0.33741048848851946	0.215730049713679	0.09118529890634154	0.0738259874817316	0.08218702686962336	0.023862504374655653	0.08823848076110988	0.08015526882610478	67
foxf1	6	115.62937540760907	0.35829650196299745	0.2180162019242296	0.09226617624762097	0.048015897187339514	0.08217080570259959	0.020575186994123768	0.09344382342918232	0.050253614510583466	67
foxf1	7	133.41851008570276	0.37909117542948545	0.21947566352039827	0.09169290220216607	0.04028599033768973	0.07915056449392925	0.0168394328918909	0.09781612875908252	0.04526766046817465	67
foxf1	8	151.20764476379648	0.4051774491642472	0.22500070641927694	0.08498576999506148	0.028735475219776322	0.07291245747183368	0.015524271487930749	0.09252619781840915	0.03947388733676025	67
foxf1	9	168.99677944189017	0.43691149462192774	0.24960105601184393	0.07597871884136043	0.03047980947185779	0.06415877155522959	0.019920749958232294	0.0838785599478538	0.037619306831269725	67
foxf1	10	186.7859141199839	0.46412176757500023	0.2784413901285241	0.06491645456191104	0.035386493903133	0.05379304284124954	0.02470649362732403	0.07301808156043736	0.043562719336822514	67
foxf1	11	204.57504879807757	0.48430048846621016	0.3074109486699803	0.053246601426210335	0.039591594837335375	0.043432598526985965	0.027166970619419417	0.061804367105716095	0.04889263905512302	65
foxf1	12	222.3641834761713	0.573905975230522	0.2968249609573905	0.041997721033737744	0.03976164563864385	0.03285581997970167	0.027429268168581347	0.0506888631606944	0.04944912988972232	57
foxf1	13	240.15331815426498	0.5987986474370695	0.3169721028087331	0.03114726653676326	0.03809309230664708	0.023595719749158334	0.0262964732159265	0.038142816080722175	0.04846981863127824	47
